Commodity,Time,Total Exports Value ($US),Customs Import Value (Gen) ($US),Balance ($US)
315 Apparel & Accessories,2002,"23,355,739","9,274,985,213","-9,251,629,474"
315 Apparel & Accessories,2003,"16,300,022","11,040,137,232","-11,023,837,210"
315 Apparel & Accessories,2004,"27,999,618","13,145,284,089","-13,117,284,471"
315 Apparel & Accessories,2005,"39,475,180","19,343,172,469","-19,303,697,289"
315 Apparel & Accessories,2006,"24,879,094","22,417,814,801","-22,392,935,707"
315 Apparel & Accessories,2007,"32,331,210","26,357,426,018","-26,325,094,808"
315 Apparel & Accessories,2008,"37,227,100","26,169,884,813","-26,132,657,713"
315 Apparel & Accessories,2009,"31,458,727","26,167,913,323","-26,136,454,596"
315 Apparel & Accessories,2010,"29,212,141","30,969,292,493","-30,940,080,352"
315 Apparel & Accessories,2011,"40,397,018","32,469,594,152","-32,429,197,134"
315 Apparel & Accessories,2012,"53,621,486","31,926,266,821","-31,872,645,335"
315 Apparel & Accessories,2013,"53,898,984","32,716,725,191","-32,662,826,207"
315 Apparel & Accessories,2014,"65,179,243","32,796,445,842","-32,731,266,599"
315 Apparel & Accessories,2015,"77,930,863","33,443,643,579","-33,365,712,716"
315 Apparel & Accessories,2016 through September,"54,337,394","23,111,466,344","-23,057,128,950"
