,year,donor,recipient,coalesced_purpose_code,coalesced_purpose_name,year_purpose_total,year_total,categories
3829,2010,United States,Afghanistan,91010,Administrative costs,13597556.281,3440059963.7390003,Administrative
985308,2010,United States,Afghanistan,41000,"General environmental protection, combinations of purposes",9978910.0,3440059963.7390003,Agriculture/Env
781079,2010,United States,Afghanistan,15151,Elections,585073.0,3440059963.7390003,Civil Society
849523,2010,United States,Afghanistan,21020,Road transport,124891300.0,3440059963.7390003,Trans/Comm
875573,2010,United States,Afghanistan,11220,Primary education,94820980.0,3440059963.7390003,Education
884361,2010,United States,Afghanistan,13000,"Population policies/ programmes and reproductive health, combinations of activities",8513750.0,3440059963.7390003,Health
900511,2010,United States,Afghanistan,73010,Reconstruction relief and rehabilitation,43640400.0,3440059963.7390003,Emergeny Disaster Relief
906367,2010,United States,Afghanistan,23040,Electrical transmission/distribution,7129890.0,3440059963.7390003,Energy
972143,2010,United States,Afghanistan,25010,Business support services and institutions,64473830.0,3440059963.7390003,Banking/Business
984783,2010,United States,Afghanistan,14010,Water resources policy/admin. mgmt,9843820.0,3440059963.7390003,Water
116339,2010,United States,Afghanistan,52010,Food aid/Food security programmes,29953031.41,3440059963.7390003,Food
841164,2010,United States,Pakistan,13000,"Population policies/ programmes and reproductive health, combinations of activities",989971.0,2022022234.0889997,Health
955788,2010,United States,Pakistan,15000,"Government and civil society, combination of activities",4949860.0,2022022234.0889997,Civil Society
841165,2010,United States,Pakistan,31182,Agricultural research,12622131.0,2022022234.0889997,Agriculture/Env
825908,2010,United States,Pakistan,21050,Air transport,855337.0,2022022234.0889997,Trans/Comm
814905,2010,United States,Pakistan,52010,Food security programmes/food aid,15460332.0,2022022234.0889997,Food
999548,2010,United States,Pakistan,24010,Financial policy & admin. management,15681100.0,2022022234.0889997,Banking/Business
994889,2010,United States,Pakistan,11420,Higher education,58012300.0,2022022234.0889997,Education
1026529,2010,United States,Pakistan,14020,Water supply & sanit. - large systems,61888000.0,2022022234.0889997,Water
739179,2010,United States,Pakistan,72000,"Emergency Response, combination of purposes",2357252.0,2022022234.0889997,Emergeny Disaster Relief
190,2010,United States,Pakistan,91010,Administrative costs,66605993.894,2022022234.0889997,Administrative
682014,2010,United States,Pakistan,23067,Solar energy,296888.0,2022022234.0889997,Energy
406486,2010,United States,Haiti,12100,"Health, general, combinations of activities",57349.0,1412402109.6439998,Health
425482,2010,United States,Haiti,15160,Human rights,626673.6,1412402109.6439998,Civil Society
514851,2010,United States,Haiti,41040,Site preservation,107171.0,1412402109.6439998,Agriculture/Env
591418,2010,United States,Haiti,24010,Financial policy and administrative management,8408345.0,1412402109.6439998,Banking/Business
944158,2010,United States,Haiti,11230,Basic life skills for youth and adults,3959880.0,1412402109.6439998,Education
816815,2010,United States,Haiti,23010,Energy policy and admin. management,12362858.0,1412402109.6439998,Energy
991174,2010,United States,Haiti,11000,"Education, combinations of purposes",11879700.0,1412402109.6439998,
128321,2010,United States,Haiti,21010,Transport policy & admin. management,566904.44,1412402109.6439998,Trans/Comm
12604,2010,United States,Haiti,70000,"Emergency Assistance and Reconstruction, combinations of purposes",63818215.106,1412402109.6439998,Emergeny Disaster Relief
19991,2010,United States,Haiti,91010,Administrative costs,11831811.799,1412402109.6439998,Administrative
44128,2010,United States,Haiti,52010,Food aid/Food security programmes,136853131.2,1412402109.6439998,Food
702985,2010,United States,Iraq,11220,Primary education,340087.0,981387901.592,Education
844778,2010,United States,Iraq,70000,"Emergency Assistance and Reconstruction, combinations of purposes",19770080.0,981387901.592,Emergeny Disaster Relief
763459,2010,United States,Iraq,12110,Health policy & admin. management,510183.0,981387901.592,Health
725738,2010,United States,Iraq,16061,Culture and recreation,19364688.0,981387901.592,Civil Society
700733,2010,United States,Iraq,14015,Water resources protection,334759.0,981387901.592,Water
886818,2010,United States,Iraq,52010,Food security programmes/food aid,1638790.0,981387901.592,Food
914393,2010,United States,Iraq,23010,Energy policy and admin. management,2406780.0,981387901.592,Energy
899779,2010,United States,Iraq,41040,Site preservation,1960140.0,981387901.592,Agriculture/Env
934818,2010,United States,Iraq,22020,Telecommunications,3343660.0,981387901.592,Trans/Comm
1015870,2010,United States,Iraq,24040,Informal/semi-formal fin. intermed.,31679100.0,981387901.592,Banking/Business
28806,2010,United States,Iraq,99810,Sectors not specified,1139.46,981387901.592,Administrative
870282,2010,United States,Ethiopia,11420,Higher education,1361020.0,942786462.388,Education
758864,2010,United States,Ethiopia,41005,"General environmental protection, purpose unspecified (includes miscellaneous conservation and protection measures not mentioned below) or does not fit under any other applicable codes",494986.0,942786462.388,Agriculture/Env
807782,2010,United States,Ethiopia,70000,"Emergency Assistance and Reconstruction, combinations of purposes",9588697.0,942786462.388,Emergeny Disaster Relief
810018,2010,United States,Ethiopia,12220,Basic health care,1633452.0,942786462.388,Health
825306,2010,United States,Ethiopia,23064,Nuclear power plants,850799.0,942786462.388,Energy
841090,2010,United States,Ethiopia,15140,Government administration,989971.0,942786462.388,Civil Society
976380,2010,United States,Ethiopia,14020,Water supply and sanitation - large systems,7820410.0,942786462.388,Water
916121,2010,United States,Ethiopia,11000,"Education, combinations of purposes",16433440.0,942786462.388,
990771,2010,United States,Ethiopia,25020,Privatisation,11733900.0,942786462.388,Banking/Business
3847,2010,United States,Ethiopia,52010,Food aid/Food security programmes,277459518.078,942786462.388,Food
1015,2010,United States,Ethiopia,91010,Administrative costs,6978575.4,942786462.388,Administrative
863676,2010,United States,Sudan,12262,Malaria control,1257260.0,788810524.066,Health
919131,2010,United States,Sudan,25020,Privatisation,2593720.0,788810524.066,Banking/Business
740628,2010,United States,Sudan,73010,Reconstruction relief and rehabilitation,26543819.0,788810524.066,Emergeny Disaster Relief
841203,2010,United States,Sudan,31110,Agricultural policy & admin. mgmt,989971.0,788810524.066,Agriculture/Env
792842,2010,United States,Sudan,15240,Reintegration and salw control,643481.0,788810524.066,Civil Society
996800,2010,United States,Sudan,14020,Water supply & sanit. - large systems,14253600.0,788810524.066,Water
